08:50:49 [RL] ONNX model loaded: E:\batteryclaw\dist\BatteryClaw_business\models\batteryclaw_policy.onnx
08:50:49 [RL]   Input : ['batch', 15]
08:50:49 [RL]   Output: ['batch', 7]
08:50:49 [RL] [Phase 3] Online learning ON (state: C:\Users\ADMIN\AppData\Roaming\BatteryClaw\state)
08:50:49 [RL] BatteryClaw RL Brain starting
08:50:49 [RL] Wake interval: 10.0s
08:50:49 [RL]   Waiting for engine... (1/10, retry in 1.1s)
08:50:50 [RL]   Waiting for engine... (2/10, retry in 2.0s)
08:50:53 [RL]   Waiting for engine... (3/10, retry in 4.2s)
08:50:57 [RL] Pipe connected (attempt 4)
08:50:57 [RL] Ready. Controlling...
08:50:57 [RL] ------------------------------------------------------------
09:05:28 [RL] Step   88 | Batt:79.0% | CPU:15.7% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:15511mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1484mWh
09:05:38 [RL] Step   89 | Batt:79.0% | CPU:12.4% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:15511mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1527mWh
09:05:48 [RL] Step   90 | Batt:79.0% | CPU:11.3% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:13338mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1527mWh
09:05:58 [RL] Step   91 | Batt:79.0% | CPU:10.6% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:13338mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1564mWh
09:06:08 [RL] Step   92 | Batt:79.0% | CPU: 9.8% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:13639mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1564mWh
09:06:18 [RL] Step   93 | Batt:79.0% | CPU: 9.1% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:13639mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1602mWh
09:06:28 [RL] Step   94 | Batt:78.0% | CPU:14.1% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:16280mW | Temp:40C | BATTERY | App:ShellHost.exe  | Saved:1602mWh
09:06:38 [RL] Step   95 | Batt:78.0% | CPU:17.3% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:16280mW | Temp:40C | BATTERY | App:explorer.exe   | Saved:1647mWh
09:06:48 [RL] Step   96 | Batt:78.0% | CPU:38.0% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:16280mW | Temp:40C | BATTERY | App:Code.exe       | Saved:1693mWh
09:06:58 [RL] Step   97 | Batt:78.0% | CPU:35.1% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:20481mW | Temp:40C | BATTERY | App:Code.exe       | Saved:1693mWh
09:07:08 [RL] Step   98 | Batt:78.0% | CPU:31.7% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:20481mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1749mWh
09:07:18 [RL] Step   99 | Batt:78.0% | CPU:18.5% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:14820mW | Temp:40C | BATTERY | App:SearchHost.exe | Saved:1749mWh
09:07:28 [RL] Step  100 | Batt:77.0% | CPU:25.6% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:32051mW | Temp:40C | BATTERY | App:EXCEL.exe      | Saved:1781mWh
09:07:38 [RL] Step  101 | Batt:77.0% | CPU:15.4% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:32051mW | Temp:40C | BATTERY | App:EXCEL.exe      | Saved:1870mWh
09:07:48 [RL] Step  102 | Batt:77.0% | CPU:11.6% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:14346mW | Temp:40C | BATTERY | App:EXCEL.exe      | Saved:1870mWh
09:07:58 [RL] Step  103 | Batt:77.0% | CPU:10.5% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:14346mW | Temp:40C | BATTERY | App:EXCEL.exe      | Saved:1910mWh
09:08:08 [RL] Step  104 | Batt:77.0% | CPU:10.0% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:15980mW | Temp:40C | BATTERY | App:EXCEL.exe      | Saved:1910mWh
09:08:18 [RL] Step  105 | Batt:77.0% | CPU:13.6% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:15980mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1955mWh
09:08:28 [RL] Step  106 | Batt:76.0% | CPU:13.7% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:14210mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1955mWh
09:08:38 [RL] Step  107 | Batt:76.0% | CPU:51.0% @22% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:24626mW | Temp:40C | BATTERY | App:chrome.exe     | Saved:1977mWh
09:08:48 [RL] Step  108 | Batt:76.0% | CPU:31.2% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:24626mW | Temp:40C | BATTERY | App:chrome.exe     | Saved:2046mWh
09:08:58 [RL] Step  109 | Batt:76.0% | CPU:13.3% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:14201mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:2046mWh
09:09:08 [RL] Step  110 | Batt:76.0% | CPU:10.3% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:14201mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:2085mWh
09:09:18 [RL] Step  111 | Batt:76.0% | CPU:10.3% @60% | Br:45% | GPU:dGPU->sw1 | 144Hz->m2 | Disch:0mW | Temp:43C | PLUGGED | App:BatteryClaw.ex | Saved:2085mWh
09:09:28 [RL] Step  112 | Batt:76.0% | CPU: 9.5% @60% | Br:45% | GPU:dGPU->sw1 | 144Hz->m2 | Disch:0mW | Temp:43C | PLUGGED | App:BatteryClaw.ex | Saved:2085mWh
