Windows PowerShell
Copyright (C) Microsoft Corporation. All rights reserved.

Install the latest PowerShell for new features and improvements! https://aka.ms/PSWindows

PS C:\WINDOWS\system32> cd E:\batteryclaw
PS E:\batteryclaw> python simulator\train.py --steps 5000000
BatteryClaw — Train PPO Agent
==================================================
[1] Khoi tao 8 environments song song...
[2] Khoi tao PPO model...
[3] Train 5,000,000 steps...
    n_envs      = 8
    batch_size  = 512
    net_arch    = [256, 256]


  >>> Phase 1/4 | difficulty=1 | 600,000 steps
  Steps: 2,650,000 | FPS:  1223 | Mean reward:  288.56 | Elapsed: 2166s
  Steps: 2,675,000 | FPS:  1223 | Mean reward:  213.66 | Elapsed: 2188s
  Steps: 2,700,000 | FPS:  1224 | Mean reward:  352.75 | Elapsed: 2206s
  Steps: 2,725,000 | FPS:  1223 | Mean reward:  274.54 | Elapsed: 2228s
  Steps: 2,750,000 | FPS:  1225 | Mean reward:  306.58 | Elapsed: 2245s
  Steps: 2,775,000 | FPS:  1224 | Mean reward:  251.21 | Elapsed: 2267s
  Steps: 2,800,000 | FPS:  1224 | Mean reward:  276.57 | Elapsed: 2288s
  Steps: 2,825,000 | FPS:  1223 | Mean reward:  248.83 | Elapsed: 2310s
  Steps: 2,850,000 | FPS:  1225 | Mean reward:  288.16 | Elapsed: 2327s
  Steps: 2,875,000 | FPS:  1223 | Mean reward:  246.53 | Elapsed: 2350s
  Steps: 2,900,000 | FPS:  1222 | Mean reward:  297.36 | Elapsed: 2372s
  Steps: 2,925,000 | FPS:  1224 | Mean reward:  324.70 | Elapsed: 2390s
  Steps: 2,950,000 | FPS:  1223 | Mean reward:  271.30 | Elapsed: 2412s
  Steps: 2,975,000 | FPS:  1224 | Mean reward:  249.13 | Elapsed: 2430s
  Steps: 3,000,000 | FPS:  1222 | Mean reward:  257.03 | Elapsed: 2454s
  Steps: 3,025,000 | FPS:  1224 | Mean reward:  234.50 | Elapsed: 2472s
  Steps: 3,050,000 | FPS:  1223 | Mean reward:  250.09 | Elapsed: 2494s
  Steps: 3,075,000 | FPS:  1224 | Mean reward:  328.76 | Elapsed: 2512s
  Steps: 3,100,000 | FPS:  1223 | Mean reward:  251.97 | Elapsed: 2534s
  Steps: 3,125,000 | FPS:  1225 | Mean reward:  162.59 | Elapsed: 2551s
  Steps: 3,150,000 | FPS:  1224 | Mean reward:  258.04 | Elapsed: 2573s
  Steps: 3,175,000 | FPS:  1226 | Mean reward:  249.85 | Elapsed: 2591s
  Steps: 3,200,000 | FPS:  1223 | Mean reward:  357.86 | Elapsed: 2616s
  Steps: 3,225,000 | FPS:  1224 | Mean reward:  326.36 | Elapsed: 2634s
  Steps: 3,250,000 | FPS:  1224 | Mean reward:  287.88 | Elapsed: 2656s
  Steps: 3,275,000 | FPS:  1225 | Mean reward:  262.05 | Elapsed: 2674s
  Steps: 3,300,000 | FPS:  1224 | Mean reward:  309.84 | Elapsed: 2696s
  Steps: 3,325,000 | FPS:  1225 | Mean reward:  232.00 | Elapsed: 2713s
  Steps: 3,350,000 | FPS:  1225 | Mean reward:  365.90 | Elapsed: 2736s
  Steps: 3,375,000 | FPS:  1226 | Mean reward:  262.15 | Elapsed: 2753s
  Steps: 3,400,000 | FPS:  1224 | Mean reward:  230.83 | Elapsed: 2778s
  Steps: 3,425,000 | FPS:  1223 | Mean reward:  287.17 | Elapsed: 2800s
  Steps: 3,450,000 | FPS:  1224 | Mean reward:  285.94 | Elapsed: 2818s
  Steps: 3,475,000 | FPS:  1222 | Mean reward:  254.70 | Elapsed: 2843s
  Steps: 3,500,000 | FPS:  1223 | Mean reward:  324.18 | Elapsed: 2862s
  Steps: 3,525,000 | FPS:  1221 | Mean reward:  250.18 | Elapsed: 2886s
  Steps: 3,550,000 | FPS:  1222 | Mean reward:  277.65 | Elapsed: 2905s
  Steps: 3,575,000 | FPS:  1220 | Mean reward:  212.91 | Elapsed: 2930s
  Steps: 3,600,000 | FPS:  1220 | Mean reward:  316.01 | Elapsed: 2952s
  Steps: 3,625,000 | FPS:  1218 | Mean reward:  283.34 | Elapsed: 2976s
  Steps: 3,650,000 | FPS:  1219 | Mean reward:  237.32 | Elapsed: 2995s
  Steps: 3,675,000 | FPS:  1217 | Mean reward:  274.84 | Elapsed: 3019s
  Steps: 3,700,000 | FPS:  1218 | Mean reward:  310.49 | Elapsed: 3038s
  Steps: 3,725,000 | FPS:  1216 | Mean reward:  238.69 | Elapsed: 3063s
  Steps: 3,750,000 | FPS:  1216 | Mean reward:  298.09 | Elapsed: 3085s
  Steps: 3,775,000 | FPS:  1212 | Mean reward:  269.40 | Elapsed: 3114s
  Steps: 3,800,000 | FPS:  1211 | Mean reward:  263.40 | Elapsed: 3139s
  Steps: 3,825,000 | FPS:  1208 | Mean reward:  308.02 | Elapsed: 3167s
  Steps: 3,850,000 | FPS:  1207 | Mean reward:  139.26 | Elapsed: 3190s
  Steps: 3,875,000 | FPS:  1205 | Mean reward:  305.62 | Elapsed: 3217s
  Steps: 3,900,000 | FPS:  1202 | Mean reward:  230.35 | Elapsed: 3246s
  Steps: 3,925,000 | FPS:  1202 | Mean reward:  289.16 | Elapsed: 3267s
  Steps: 3,950,000 | FPS:  1199 | Mean reward:  325.94 | Elapsed: 3295s
  Steps: 3,975,000 | FPS:  1198 | Mean reward:  227.73 | Elapsed: 3317s
  Steps: 4,000,000 | FPS:  1194 | Mean reward:  206.97 | Elapsed: 3349s
  Steps: 4,025,000 | FPS:  1195 | Mean reward:  311.83 | Elapsed: 3369s
  Steps: 4,050,000 | FPS:  1192 | Mean reward:  233.96 | Elapsed: 3398s
  Steps: 4,075,000 | FPS:  1192 | Mean reward:  285.43 | Elapsed: 3419s
  Steps: 4,100,000 | FPS:  1189 | Mean reward:  222.31 | Elapsed: 3447s
  Steps: 4,125,000 | FPS:  1189 | Mean reward:  267.09 | Elapsed: 3469s
  Steps: 4,150,000 | FPS:  1186 | Mean reward:  297.95 | Elapsed: 3498s
  Steps: 4,175,000 | FPS:  1186 | Mean reward:  242.36 | Elapsed: 3519s
  Steps: 4,200,000 | FPS:  1183 | Mean reward:  211.76 | Elapsed: 3549s
  Steps: 4,225,000 | FPS:  1183 | Mean reward:  270.61 | Elapsed: 3570s
  Steps: 4,250,000 | FPS:  1181 | Mean reward:  228.25 | Elapsed: 3599s
  Steps: 4,275,000 | FPS:  1181 | Mean reward:  277.94 | Elapsed: 3619s
  Steps: 4,300,000 | FPS:  1179 | Mean reward:  343.23 | Elapsed: 3648s
  Steps: 4,325,000 | FPS:  1179 | Mean reward:  337.67 | Elapsed: 3669s
